2025-07-02 14:53:57,456 | INFO | User added successfully: {'email': 'hey@gmail.com', 'hash_password': 'yoel1234'}
2025-07-02 14:54:43,199 | WARNING | User already exists: hey@gmail.com
2025-07-02 15:12:40,018 | INFO | Flight added successfully: {'flight_id': None, 'user_id': 1, 'departure_airport': 'BKK', 'arrival_airport': 'CNG', 'requested_date': '2025-07-10', 'target_price': 500.0, 'last_checked': None, 'last_price_found': None, 'notify_on_any_drop': False, 'more_criteria': {'connection': 0, 'max_connection_hours': None, 'department': 'Tourists', 'is_round_trip': True, 'return_date': None, 'flexible_days_before': 0, 'flexible_days_after': 0, 'custom_name': None}, 'best_found': {'price': None, 'time': None, 'airline': None}}
2025-07-02 15:20:19,341 | INFO | User deleted successfully: email - hey@gmail.com
2025-07-02 15:29:17,041 | INFO | User added successfully: {'email': 'hey@gmail.com', 'hash_password': 'yoel1234'}
2025-07-02 15:29:17,214 | INFO | All users list was sended
2025-07-02 15:31:49,104 | INFO | Flight added successfully: {'flight_id': None, 'user_id': 8, 'departure_airport': 'BKK', 'arrival_airport': 'CNG', 'requested_date': '2025-07-10', 'target_price': 500.0, 'last_checked': None, 'last_price_found': None, 'notify_on_any_drop': False, 'more_criteria': {'connection': 0, 'max_connection_hours': None, 'department': 'Tourists', 'is_round_trip': True, 'return_date': None, 'flexible_days_before': 0, 'flexible_days_after': 0, 'custom_name': None}, 'best_found': {'price': None, 'time': None, 'airline': None}}
2025-07-02 15:31:49,106 | ERROR | Error in /get_flights: unhashable type: 'list' email: hey@gmail.com
2025-07-02 15:35:45,304 | INFO | Flight added successfully: {'flight_id': None, 'user_id': 8, 'departure_airport': 'BKK', 'arrival_airport': 'CNG', 'requested_date': '2025-07-10', 'target_price': 500.0, 'last_checked': None, 'last_price_found': None, 'notify_on_any_drop': False, 'more_criteria': {'connection': 0, 'max_connection_hours': None, 'department': 'Tourists', 'is_round_trip': True, 'return_date': None, 'flexible_days_before': 0, 'flexible_days_after': 0, 'custom_name': None}, 'best_found': {'price': None, 'time': None, 'airline': None}}
2025-07-02 15:35:45,305 | INFO | hey@gmail.com
2025-07-02 15:35:45,305 | ERROR | Error in /get_flights: unhashable type: 'list' email: hey@gmail.com
2025-07-02 15:39:13,491 | INFO | Flight added successfully: {'flight_id': None, 'user_id': 8, 'departure_airport': 'BKK', 'arrival_airport': 'CNG', 'requested_date': '2025-07-10', 'target_price': 500.0, 'last_checked': None, 'last_price_found': None, 'notify_on_any_drop': False, 'more_criteria': {'connection': 0, 'max_connection_hours': None, 'department': 'Tourists', 'is_round_trip': True, 'return_date': None, 'flexible_days_before': 0, 'flexible_days_after': 0, 'custom_name': None}, 'best_found': {'price': None, 'time': None, 'airline': None}}
2025-07-02 15:45:38,028 | INFO | Flight added successfully: {'flight_id': None, 'user_id': 8, 'departure_airport': 'BKK', 'arrival_airport': 'CNG', 'requested_date': '2025-07-10', 'target_price': 500.0, 'last_checked': None, 'last_price_found': None, 'notify_on_any_drop': False, 'more_criteria': {'connection': 0, 'max_connection_hours': None, 'department': 'Tourists', 'is_round_trip': True, 'return_date': None, 'flexible_days_before': 0, 'flexible_days_after': 0, 'custom_name': None}, 'best_found': {'price': None, 'time': None, 'airline': None}}
2025-07-02 15:48:34,254 | INFO | Flight updated successfully: {'flight_id': 11, 'user_id': 8, 'departure_airport': 'BKK', 'arrival_airport': 'CNG', 'requested_date': '2025-07-10', 'target_price': 1400.0, 'last_checked': None, 'last_price_found': None, 'notify_on_any_drop': False, 'more_criteria': {'connection': 0, 'max_connection_hours': None, 'department': 'Tourists', 'is_round_trip': True, 'return_date': None, 'flexible_days_before': 0, 'flexible_days_after': 0, 'custom_name': None}, 'best_found': {'price': None, 'time': None, 'airline': None}}
2025-07-02 15:49:09,005 | INFO | Flight updated successfully: {'flight_id': 11, 'user_id': 8, 'departure_airport': 'BKK', 'arrival_airport': 'CNG', 'requested_date': '2025-07-10', 'target_price': 1400.0, 'last_checked': None, 'last_price_found': None, 'notify_on_any_drop': False, 'more_criteria': {'connection': 0, 'max_connection_hours': None, 'department': 'Tourists', 'is_round_trip': True, 'return_date': None, 'flexible_days_before': 0, 'flexible_days_after': 0, 'custom_name': None}, 'best_found': {'price': None, 'time': None, 'airline': None}}
2025-07-02 15:49:09,008 | INFO | Flight deleted successfully: flight_id - 11.0
2025-07-02 15:49:09,011 | INFO | User deleted successfully: email - hey@gmail.com
2025-07-02 16:19:08,961 | WARNING | User already exists: try2@gmail.com
2025-07-02 16:19:09,298 | WARNING | Password wrong: mail - try2@gmail.com password - $2b$12$EILlNQoAJm7IWlnc93/.4erB47JeVPXuPHgb3q1m4tP75m8zPLU6S
2025-07-02 16:19:22,540 | INFO | User added successfully: {'email': 'try7@gmail.com', 'password': 'yoel1234'}
2025-07-02 16:19:22,876 | WARNING | Password wrong: mail - try7@gmail.com password - $2b$12$C1XyX06qiZ6iNGBUmtS7Hu01qCqikXYInq/slfRvETXVYLWYvhy7S
2025-07-02 16:21:18,802 | WARNING | Password wrong: mail - try7@gmail.com password - $2b$12$n5djwWoWIxo.Z6cKXsE/rOv1I8xHM5wEc...jczqGxfgWjo2/lMpe
